channel_name,channel_handle,date,youtube_views,youtube_rsi,live_stream_count,fear_greed_value,fear_greed_classification,btc_price_close,btc_price_high,btc_price_low,btc_volume
Micha.Stocks,@Micha.Stocks,2024-11-25,12372,,1,82,Extreme Greed,93019.38,98974.51,92592.66,6533804396
,,2024-11-26,,,,79,Extreme Greed,91903.89,95007.52,90730.54,7150066319
,,2024-11-27,,,,75,Greed,95957.51,97373.56,91757.22,4533983271
,,2024-11-28,,,,77,Extreme Greed,95670.41,96672.28,94677.17,2311939500
,,2024-11-29,,,,78,Extreme Greed,97510.92,98735.69,95391.39,3883366950
,,2024-11-30,,,,84,Extreme Greed,96473.51,97514.26,96137.13,1215861239
,,2024-12-01,,,,81,Extreme Greed,97276.47,97896.77,95752.22,1659820135
Micha.Stocks,@Micha.Stocks,2024-12-02,11086,,1,80,Extreme Greed,95859.75,98219.29,94419.96,5040855659
Micha.Stocks,@Micha.Stocks,2024-12-03,10325,,1,76,Extreme Greed,95928.37,96304.02,93590.91,5033493735
Micha.Stocks,@Micha.Stocks,2024-12-04,12150,,1,78,Extreme Greed,98751.87,99226.36,94663.42,5727735676
,,2024-12-05,,,,84,Extreme Greed,97053.82,104028.51,91741.97,12041439287
,,2024-12-06,,,,72,Greed,99897.97,102088.57,96427.00,5653979066
,,2024-12-07,,,,75,Greed,99926.38,100578.80,99025.63,1728102575
,,2024-12-08,,,,79,Extreme Greed,101189.81,101430.60,98730.22,1785051035
,,2024-12-09,,,,78,Extreme Greed,97338.34,101290.02,94567.01,6847958219
,,2024-12-10,,,,78,Extreme Greed,96657.88,98316.66,94284.00,6621616095
Micha.Stocks,@Micha.Stocks,2024-12-11,23206,,2,74,Greed,101203.07,101979.09,95730.76,5482015399
Micha.Stocks,@Micha.Stocks,2024-12-12,20741,,1,83,Extreme Greed,100041.98,102598.04,99311.56,4765401240
,,2024-12-13,,,,76,Extreme Greed,101429.78,101947.10,99232.64,3492131955
,,2024-12-14,,,,83,Extreme Greed,101402.95,102653.76,100606.28,1683710017
,,2024-12-15,,,,80,Extreme Greed,104424.54,105140.47,101228.16,2557994218
,,2024-12-16,,,,83,Extreme Greed,106089.20,107829.08,103299.75,6398449052
Micha.Stocks,@Micha.Stocks,2024-12-17,19872,,1,87,Extreme Greed,106140.14,108369.13,105308.99,4365460606
